real, calculated, error, obstacle, epsilon, distance_to_ground, 
100.00704880639394, 86.53812400167506, 13.698341965348904, 8.25, 2.4000000000000004, 30, 
100.00704880639394, 86.84419785948013, 13.392289680576852, 9.25, 3.0, 30, 
100.00704880639394, 87.17733747483024, 13.05917354593814, 10.25, 4.0, 30, 
100.00704880639394, 87.24542816888066, 12.991087651130616, 11.25, 5.0, 30, 
100.00704880639394, 87.62318150166438, 12.613360943571216, 12.25, 5.5, 30, 
100.00704880639394, 88.06174033312831, 12.17483302309138, 13.25, 6.0, 30, 
100.00704880639394, 88.11233265796818, 12.124244264155193, 14.25, 6.5, 30, 
100.00704880639394, 87.92544608879004, 12.31111766098939, 15.25, 7.0, 30, 
100.00704880639394, 88.16047601509347, 12.076104300322754, 16.25, 8, 30, 
100.00704880639394, 87.93364922819752, 12.302915099764567, 17.25, 8, 30, 
100.00704880639394, 88.20905821799859, 12.02752552164169, 18.25, 8, 30, 
100.00704880639394, 87.9613901836005, 12.275176099630002, 19.25, 8, 30, 
100.00704880639394, 88.2545956467778, 11.981991302481433, 20.25, 8, 30, 
